Year,FIPS,AgeGroup,MonthlyIncome,AverageRate,AveragePoints,County,MedianHousePrice,MonthlyMortgage,mortgage_income_ratio,affordable
2021,34011,25-44,4418.799324724793,2.9,0.7,Cumberland County,195156.0,1022.1927464358355,0.23132816661673103,Yes
2021,34011,25-44,4418.799324724793,3.07,0.7,Cumberland County,198099.0,1053.5737580014415,0.23842987213886638,Yes
2021,34011,25-44,4418.799324724793,3.07,0.7,Cumberland County,201140.0,1069.7470743638785,0.24208998774356047,Yes
2021,34011,25-44,4418.799324724793,3.1,0.6,Cumberland County,203412.0,1084.74418565921,0.24548392129727883,Yes
2021,34011,65-plus,4599.764035361453,2.74,0.7,Cumberland County,162910.0,841.0819936492696,0.1828532914261061,Yes
2021,34011,65-plus,4599.764035361453,2.81,0.7,Cumberland County,166016.0,862.5446063507022,0.18751931614746903,Yes
2021,34011,65-plus,4599.764035361453,3.08,0.7,Cumberland County,169059.0,899.9334596113664,0.1956477446871139,Yes
2021,34011,65-plus,4599.764035361453,3.06,0.7,Cumberland County,172955.0,919.0227586914007,0.19979780519745358,Yes
2021,34011,65-plus,4599.764035361453,2.96,0.7,Cumberland County,176295.0,928.3973720377304,0.20183586916644436,Yes
2021,34011,65-plus,4599.764035361453,2.98,0.7,Cumberland County,180773.0,953.6914859807487,0.2073348716693044,Yes
2021,34011,65-plus,4599.764035361453,2.87,0.7,Cumberland County,185766.0,970.3862884182432,0.21096436272779143,Yes
2021,34011,65-plus,4599.764035361453,2.84,0.7,Cumberland County,191094.0,995.525481452624,0.21642968504457094,Yes
2021,34011,65-plus,4599.764035361453,2.9,0.7,Cumberland County,195156.0,1022.1927464358355,0.22222721395653303,Yes
2021,34011,65-plus,4599.764035361453,3.07,0.7,Cumberland County,198099.0,1053.5737580014415,0.2290495229542032,Yes
2021,34011,65-plus,4599.764035361453,3.07,0.7,Cumberland County,201140.0,1069.7470743638785,0.23256564165901106,Yes
2021,34011,65-plus,4599.764035361453,3.1,0.6,Cumberland County,203412.0,1084.74418565921,0.23582605049303793,Yes
2021,34011,overall,4785.282113026621,2.74,0.7,Cumberland County,162910.0,841.0819936492696,0.1757643486388512,Yes
2021,34011,overall,4785.282113026621,2.81,0.7,Cumberland County,166016.0,862.5446063507022,0.18024947870944966,Yes
2021,34011,overall,4785.282113026621,3.08,0.7,Cumberland County,169059.0,899.9334596113664,0.18806278049136202,Yes
2021,34011,overall,4785.282113026621,3.06,0.7,Cumberland County,172955.0,919.0227586914007,0.19205194949522678,Yes
2021,34011,overall,4785.282113026621,2.96,0.7,Cumberland County,176295.0,928.3973720377304,0.19401100083742662,Yes
2021,34011,overall,4785.282113026621,2.98,0.7,Cumberland County,180773.0,953.6914859807487,0.19929681541336602,Yes
2021,34011,overall,4785.282113026621,2.87,0.7,Cumberland County,185766.0,970.3862884182432,0.2027855966478198,Yes
